job_titles,skills
Associate L2 Programmer,AEROSPIKE|AWS|Angular 5+|CSS|Circle CI|Core-java|DOCKER|Go testing Module|Golang|HTML|JS|Jenkins|KAFKA|Linux|MONGO DB|MySQL|NodeJS|PostgresSQL|REDIS|RedHat Ansible|Swagger
Associate Software Developer,CSS3|HTML5|Java|MongoDB|MySQL|React JS|Redis|Spring Boot
"Atlassian Jira, Confluence, Bitbucket Admin",AWS|Bitbucket|Confluence|Crowd|Groovy Scripting|Jira|Linux|MySQL|Oracle|PostgreSQL|REST API|Shell Scripting
Audit Senior,Accounting|Alteryx|Audit|Data Snipper|IFRS|MS Office|Power BI|Taxation|US GAAP
BDO (Business Development Officer),AIP|CIBIL Verification|Cash Salary Verification|Credit Management|KYC Verification|LIP|Loan Disbursement|Loan Management|Loan Origination|Portfolio Management|Risk Management|SFPC|Tele PD
BUSINESS ANALYST,BRD|CSS|Database|Django|FSD|Flask|HTML|JavaScript|Python|SQL|SRS|Testing
Backend Software Developer,AWS|Ansible|Azure|BERT|CI/CD|CockroachDB|Django|Docker|FastAPI|Firebase|Flask|GITHUB|GraphQL|Groq API|HTML/CSS|ImmuDB|JWT|JavaScript|Jenkins|Kubernetes|Laravel|MongoDB|MySQL|OAuth2|Ollama|OpenCV|PHP|Pinecone|PostgreSQL|Postman|Python|REST|React|Redis|SOAP|SQL|Swagger|TensorFlow|Terraform|Transformers|WebSockets|gRPC
"Backend,Frontend Developer",Algorithm|CSS3|DB: MongoDB|DB: MySql|Data Structure|Express.js|Git|HTML5|JavaScript|Jest|Micro Frontend|Node.js|React-Redux|React.js|TypeScript
Braadcast Assistant (Duty Officer),Administration|Business Operations|Communication|Customer Service|Data Analysis|Logical Ability|MS SharePoint|Marketing|Microsoft Excel|Microsoft Outlook|Microsoft PPT|Microsoft Word|Persuasion|Project Management|Reasoning|Sales|Team Management|Time Management
Branch Credit Manager,AIP|APS|CIBIL Verification|CTS|Cash Salary Verification|Computer Knowledge|Credit Management|Credit Operations|Finnone Software|Home Loan Process|KYC Verification|LIP|Loan Disbursement|Loan Management|Loan Origination|MS Office|Mortgage Loan|Omni Docs|Portfolio Management|Risk Management|SFPC|Tele PD
Branch Manager,Audit compliance|Bank liaisoning|Business Development|Customer Service|DC verification|Expense management|Internet|Leadership|MS Office|Marketing|Operations|Relationship management|Sales|Team Management
Branch Relationship Executive,Business Development|Customer Service|Leadership|Marketing|Operations|Sales|Team Management
Branch developing Officer,Analytical skills|Effective communication|Leadership|MSCIT|Rational problem-solving|Sales planning|TALLY ERP 9|Time management
Branch relationship Executive,Analytical skills|Effective communication|Leadership|MSCIT|Rational problem-solving|Sales planning|TALLY ERP 9|Time management
"Business Analyst , Cash Management Services",CRM Tools|Customer Relationship Management|Jira|MS Office|MS Visio|Requirement Gathering & Analysis|SQL
"Business Consultant , Institutional Business Group",CRM Tools|Customer Relationship Management|Jira|MS Office|MS Visio|Requirement Gathering & Analysis|SQL
Business Development Trainee,Content Writing|Digital Marketing|E-mail Marketing|Excel|Facebook Ads|GST Tally|Google Ads|MS Word|PowerPoint|SEM|SEO|SMM|Speed Typing
C++ Developer,AWS|Android|C++|Django|Elastic Search|Express|Firebase|GCP|GIT|Java|MongoDB|Node|PostgreSQL|Python|ReactJS|Redis
Command Center Analyst,access control|active directory|alienvault|amazon web services|ccna|cisco|cisco certifications|cyber security|data centers|devops|eigrp|fireeye|firewall|hardware|ibm qradar|ids/ips|information security|installation|ip|it security|java|kali linux|lan|linux|malware analysis|metasploit|microsoft windows|nessus|network|network management|network operations|network security|networking|nist sp 800 series|nmap|osi|ospf|owasp|palo alto|penetration testing|python|risk assessment|routing|routing protocols|security|security analysis|security controls|security engineering|security onion|security+ ce|siem|software|splunk|subnetwork|switches|system security|tcp/ip|virtualbox|vmware|wan|wireshark
Computer Hardware Engg.,CNC Milling|CNC Programming|CNC Turning|Computer Hardware|Computer Operator|Home Loan|LAP Loan|Sales
Computer Operator,CNC Milling|CNC Programming|CNC Turning|Computer Hardware|Computer Operator|Home Loan|LAP Loan|Sales
"Credit Assistant, Internal Auditor, Branch Manager",Audit compliance|Bank liaisoning|DC verification|Expense management|Internet|MS Office|Relationship management
Credit Executive,Business Development|Credit Management|Customer Service|Financial Analysis|Loan Processing|Risk Assessment|Team Management
Credit Manager,Business Development|Credit Management|Customer Service|Financial Analysis|Loan Processing|Risk Assessment|Team Management
"Credit Manager (Home Loan, LAP , MSME)",Banking|Credit Management|Customer Relationship Management|Financial Analysis|Loan Processing|Risk Assessment
Credit Manager-LAP,Banking|Credit Management|Customer Relationship Management|Financial Analysis|Loan Processing|Risk Assessment
Credit Operation Executive,BAZ|CRM|Database Administration|Finnone|IC4|Ms-CIT|Salesforce|Sapphire|Typing
Credit Process Analyst,Banking|Credit Management|Customer Relationship Management|Financial Analysis|Loan Processing|Risk Assessment
Credit assistant,Bucket Collection|Bucket Collection Efficiency|Cash Management|Key Responsibilities|Team Handling
Credit-OpsTeam,APS|CTS|Computer Knowledge|Credit Operations|Finnone Software|Home Loan Process|MS Office|Mortgage Loan|Omni Docs
Customer Care Executive,AIP|CIBIL Verification|Cash Salary Verification|Credit Management|KYC Verification|LIP|Loan Disbursement|Loan Management|Loan Origination|Portfolio Management|Risk Management|SFPC|Tele PD
"Customer Service Officer (Support Operation Backend HL,Lab)",BAZ|CRM|Database Administration|Finnone|IC4|Ms-CIT|Salesforce|Sapphire|Typing
Customer Service Representative,arduino|c|communication|electronics|instrumentation|leadership
Cyber Security Analyst,cyber security|documentation|education|endpoint protection|firewall|hardware|ibm qradar|incident management|intrusion detection|malware analysis|monitoring|network|reporting|security|siem|soc|software|splunk|symantec|training
Cyber Security Network Administrator,access control|active directory|alienvault|amazon web services|ccna|cisco|cisco certifications|cyber security|data centers|devops|eigrp|fireeye|firewall|hardware|ibm qradar|ids/ips|information security|installation|ip|it security|java|kali linux|lan|linux|malware analysis|metasploit|microsoft windows|nessus|network|network management|network operations|network security|networking|nist sp 800 series|nmap|osi|ospf|owasp|palo alto|penetration testing|python|risk assessment|routing|routing protocols|security|security analysis|security controls|security engineering|security onion|security+ ce|siem|software|splunk|subnetwork|switches|system security|tcp/ip|virtualbox|vmware|wan|wireshark
Cybersecurity Analyst,cyber security|documentation|education|endpoint protection|firewall|hardware|ibm qradar|incident management|intrusion detection|malware analysis|monitoring|network|reporting|security|siem|soc|software|splunk|symantec|training
DATA ANALYST CHATBOT TEAM,BRD|CSS|Database|Django|FSD|Flask|HTML|JavaScript|Python|SQL|SRS|Testing
"DATA MANAGEMENT , BUSINESS ANALYST",BRD|CSS|Database|Django|FSD|Flask|HTML|JavaScript|Python|SQL|SRS|Testing
Data Analyst,API|AWS|CSS|Continuous Delivery|Continuous Integration|DevOps|Django|Docker|Elastic Search|Front End Developer|GCP Cloud|GIT|Golang|Google Cloud Platforms|HTML|Javascript|Kubernetes|Linux|MongoDB|MySQL|Node.Js|Python|Rust|Software Developer
Data Science Intern,AWS|BERT|Beautiful Soup|C/C++|CSS|Classification|Clustering|Django|Docker|Excel|Flask|Gensim|Git|GitHub|Google Colab|HTML|Hugging Face|Inception|Jupyter Notebook|Keras|Matplotlib|MongoDB|MySQL|NLTK|NumPy|OpenCV|Pandas|PostgreSQL|Power BI|PyCharm|PyTorch|Python|Regression|Requests|ResNet|SciPy|Scikit-learn|Scrapy|Seaborn|Selenium|Streamlit|Tableau|TensorFlow|Time Series Analysis|Transformers|VGG|VSCode|Word Embedding|Word2Vec
Data Scientist,ANN|API|AWS|Anaconda|Artificial Intelligence|BERT|Bag of Words|CNN|Computer Vision|Count vectorizer|Deep Learning|Flask|GPU|Gensim|Git|Google Colab|Image Processing|JIRA|Jupyter notebook|Keras|LLM|Linux|Machine Learning|Matplotlib|MongoDB|MySQL|NLP|NLTK|Natural Language Processing|NumPy|OCR|Object Detection|Object Oriented Programming|Pandas|Postman|PyTorch|Python|RNN|Sci-py|Scikit-learn|Seaborn|Sentiment Analysis|TF-IDF|Tensor Flow|Text Summarization|Transformer|Visual Studio|Windows|Word2vec
"Deputy Manager , I",CRM Tools|Customer Relationship Management|Jira|MS Office|MS Visio|Requirement Gathering & Analysis|SQL
"Deputy Manager , II",CRM Tools|Customer Relationship Management|Jira|MS Office|MS Visio|Requirement Gathering & Analysis|SQL
Developer,ADO.NET|ASP.NET|ASP.NET Core|Angular|C#|CSS|Entity Framework|Git|HTML5|IIS|Java Script|MVC-Core|Microsoft Azure|MySQL|Restful API|SQL Server|Visual Studio|Web Services
Digital Marketing Analyst,Facebook Blueprint Certified|Microsoft Excel|Paid Social|Team Building
Digital Marketing Intern,Content Writing|Digital Marketing|E-mail Marketing|Excel|Facebook Ads|GST Tally|Google Ads|MS Word|PowerPoint|SEM|SEO|SMM|Speed Typing
Digital Marketing Manager,API|AWS|CSS|Continuous Delivery|Continuous Integration|DevOps|Django|Docker|Elastic Search|Front End Developer|GCP Cloud|GIT|Golang|Google Cloud Platforms|HTML|Javascript|Kubernetes|Linux|MongoDB|MySQL|Node.Js|Python|Rust|Software Developer
Digital Specialist,API|AWS|CSS|Continuous Delivery|Continuous Integration|DevOps|Django|Docker|Elastic Search|Front End Developer|GCP Cloud|GIT|Golang|Google Cloud Platforms|HTML|Javascript|Kubernetes|Linux|MongoDB|MySQL|Node.Js|Python|Rust|Software Developer
Direct Sales Representative,Content Writing|Digital Marketing|E-mail Marketing|Excel|Facebook Ads|GST Tally|Google Ads|MS Word|PowerPoint|SEM|SEO|SMM|Speed Typing
ERP Developer,Agile Methodology|Ajax|Asp.net|Asp.net Core 6.0|Azure Cloud|Azure DevOps|Bitbucket|C#|CSS|Entity Framework|Git|GraphQL API|HTML|JavaScript|Json|LINQ|MVC-5|Microservices|MongoDB|OOPS|SQL Server|SVN|Webservices|jQuery
Electrical Engineer,access control|active directory|alienvault|amazon web services|ccna|cisco|cisco certifications|cyber security|data centers|devops|eigrp|fireeye|firewall|hardware|ibm qradar|ids/ips|information security|installation|ip|it security|java|kali linux|lan|linux|malware analysis|metasploit|microsoft windows|nessus|network|network management|network operations|network security|networking|nist sp 800 series|nmap|osi|ospf|owasp|palo alto|penetration testing|python|risk assessment|routing|routing protocols|security|security analysis|security controls|security engineering|security onion|security+ ce|siem|software|splunk|subnetwork|switches|system security|tcp/ip|virtualbox|vmware|wan|wireshark
"Engineer (System Integration and Calibration ,  Diesel Engine Application)",Air-path control and model calibration|Calibration of diesel aftertreatment systems|Combustion Analysis|Drive modes and Fuel Economy calibration|Electronic Engine Management|Engine Hardware Failure and Fault Diagnostics|Engine out emission Calibration|Exhaust After Treatment Systems|Fuel Injection strategies|Injector Selection and Analysis|LNT and DPF control calibration|Model Based Closed loop calibration|Powertrain optimization|Project Management|Root Cause Analysis|Timeline Management|Vehicle Drivability
Entrepreneur,Facebook Blueprint Certified|Microsoft Excel|Paid Social|Team Building
Expert,Allen Bradley|Api integration|Bacnet|CRUD|Data Structure|Debezium|Django|Docker|FAST API|Flink|Git|Golang|HTML|JavaScript|KAFKA|Kubernetes|Microservices|Mitsubishi (MELSEC)|MongoDB|MySQL|OPC DA|ORM|PLCâ€™s protocols|Python|REST API|RabbitMQ|Redis|Siemens|Socket over TCP and UDP|Superset|UNS
FINANCIAL PLANNER,BRD|CSS|Database|Django|FSD|Flask|HTML|JavaScript|Python|SQL|SRS|Testing
Faculty,Allen Bradley|Api integration|Bacnet|CRUD|Data Structure|Debezium|Django|Docker|FAST API|Flink|Git|Golang|HTML|JavaScript|KAFKA|Kubernetes|Microservices|Mitsubishi (MELSEC)|MongoDB|MySQL|OPC DA|ORM|PLCâ€™s protocols|Python|REST API|RabbitMQ|Redis|Siemens|Socket over TCP and UDP|Superset|UNS
Finance Intern,Adaptable|Communication|MS Excel|MS Word|Powerpoint|Quick learner|SAP|Tally|Time management
Fitter,M.s. office
Freelance Developer,API|AWS|CSS|Continuous Delivery|Continuous Integration|DevOps|Django|Docker|Elastic Search|Front End Developer|GCP Cloud|GIT|Golang|Google Cloud Platforms|HTML|Javascript|Kubernetes|Linux|MongoDB|MySQL|Node.Js|Python|Rust|Software Developer
Frontend Engineer,Framer-motion|Java|Javascript|Next.js|Node.js|React|Redux|Supabase|Tailwind|Typescript|Web-Sockets
Full Stack Software Developer,AWS|Ansible|Azure|BERT|CI/CD|CockroachDB|Django|Docker|FastAPI|Firebase|Flask|GITHUB|GraphQL|Groq API|HTML/CSS|ImmuDB|JWT|JavaScript|Jenkins|Kubernetes|Laravel|MongoDB|MySQL|OAuth2|Ollama|OpenCV|PHP|Pinecone|PostgreSQL|Postman|Python|REST|React|Redis|SOAP|SQL|Swagger|TensorFlow|Terraform|Transformers|WebSockets|gRPC
Full Stack Software Developer (Tech Lead),AWS|Ansible|Azure|BERT|CI/CD|CockroachDB|Django|Docker|FastAPI|Firebase|Flask|GITHUB|GraphQL|Groq API|HTML/CSS|ImmuDB|JWT|JavaScript|Jenkins|Kubernetes|Laravel|MongoDB|MySQL|OAuth2|Ollama|OpenCV|PHP|Pinecone|PostgreSQL|Postman|Python|REST|React|Redis|SOAP|SQL|Swagger|TensorFlow|Terraform|Transformers|WebSockets|gRPC
Full-Stack Developer,Angular|C|C#/.Net|C++|Database architecture|Eclipse IDE|Git|JUNIT|Java|Maven|Next Js|React js|SQL|Spring-boot
Go Developer,Gin|Golang|JUnit|Jasmine|Java|JavaScript|Kubernetes|MongoDB|MySQL|Node JS|PostgreSQL|RabbitMQ|React|SQL|Sapui5|Swagger
"HR , Admin Officer",C|C++|Compensation & Benefits|Employee Grievances|Employee Relations & Engagement|General Administration|Interpersonal Communication|Labor Law & Regulations|Microsoft Office|Performance Management|Policies|Talent Acquisition|Time Management|Training & Development
HR Executive - Recruitment,C|C++|Compensation & Benefits|Employee Grievances|Employee Relations & Engagement|General Administration|Interpersonal Communication|Labor Law & Regulations|Microsoft Office|Performance Management|Policies|Talent Acquisition|Time Management|Training & Development
"HR INTERN (Recruitment , Training)",Administration|Business Operations|Communication|Customer Service|Data Analysis|Logical Ability|MS SharePoint|Marketing|Microsoft Excel|Microsoft Outlook|Microsoft PPT|Microsoft Word|Persuasion|Project Management|Reasoning|Sales|Team Management|Time Management
HR Intern,Adaptive & Flexible|Leadership|Ms-Excel|Ms-Word|Recruitment & Selection|Team Building|Time Management
HR Officer,C|C++|Compensation & Benefits|Employee Grievances|Employee Relations & Engagement|General Administration|Interpersonal Communication|Labor Law & Regulations|Microsoft Office|Performance Management|Policies|Talent Acquisition|Time Management|Training & Development
"HR Officer ,  Talent Acquisition",C|C++|Compensation & Benefits|Employee Grievances|Employee Relations & Engagement|General Administration|Interpersonal Communication|Labor Law & Regulations|Microsoft Office|Performance Management|Policies|Talent Acquisition|Time Management|Training & Development
Information Technology Manager,Cisco Routing & Switching|Data Center Management|Palo Alto / F5|Project Management|RHEL/CentOS 6/7|Storage & Virtualization|Systems & Network Security|Windows Server Platforms
Inside Sales Executive,arduino|c|communication|electronics|instrumentation|leadership
Intern,Bootstrap|CSS|Flask|HTML|JavaScript|Matplotlib|Numpy|Python|Pytorch|SASS|TypeScript
Internship Tester,Ajax|Bootstrap|CSS|Docker|Git|Go lang|HTML|Javascript|Laravel|MongoDb|MySQL|PHP|jQuery
Java Backend Developer,AWS API Gateway|AWS Lambda|Amazon Cloud Watch|Amazon Web Services|Apache Kafka|Bamboo|Bash|C/C++|Docker|Dynamo DB|Git/GitHub|Grafana|HTTPS|Hibernate|Integration testing|JUnit|JWT|JaCoCo|Java|Java EE|Maven|Microservices architecture|Mockito|MongoDB|MySQL|NoSQL databases|OAuth2|Postman|Python|RESTful API development|RabbitMQ|SQL|SSL/TLS|SonarQube|Splunk|Spring Boot|Spring Framework|Swagger/OpenAPI|Test-driven development
Java Developer,amazon ec2|amazon redshift|amazon route 53|amazon web services|ansible|apache ant|apache maven|apache struts|api|aws codepipeline|aws rds|aws vpc|centos|chef|cloud|cloud architecture|cloudwatch|configuration|continuous integration|dynamo db|elastic beanstalk|framework|hibernate|html|identity management|j2ee|java|javascript|jenkins|jquery|jsp|linux|mysql|sdlc|soap|software|spring|spring mvc|sql|uml|unix|unixshell scripts|xml
Java Developer Trainee,Gin|Golang|JUnit|Jasmine|Java|JavaScript|Kubernetes|MongoDB|MySQL|Node JS|PostgreSQL|RabbitMQ|React|SQL|Sapui5|Swagger
Java and Android developer,Angular|C|C#/.Net|C++|Database architecture|Eclipse IDE|Git|JUNIT|Java|Maven|Next Js|React js|SQL|Spring-boot
Javascript Developer,Backbone.js|EJS|Electron|Express.js|Git|HBS|JQX Widgets|Jade|Java|JavaScript|Jest|Linux|Mocha|MongoDB|MySQL|NestJS|NoSQL|NodeJS|Nunjucks|PostgreSQL|Postman|REST APIs|SQL|Selenium|Spring Boot|TypeScript
"Junior Data Analyst (Invoice Processing , Business operations)",Administration|Business Operations|Communication|Customer Service|Data Analysis|Logical Ability|MS SharePoint|Marketing|Microsoft Excel|Microsoft Outlook|Microsoft PPT|Microsoft Word|Persuasion|Project Management|Reasoning|Sales|Team Management|Time Management
Junior Data Scientist,AWS|BERT|Bag of Words|Beautiful Soup|C/C++|CSS|Classification|Clustering|Data Analysis|Deep Learning|Django|Docker|Excel|Flask|Gensim|Git|GitHub|Google Colab|HTML|Hugging Face|Inception|Jupyter Notebook|Keras|Machine Learning|Matplotlib|MongoDB|MySQL|NLTK|NumPy|Numpy|OpenCV|Pandas|PosgreSQL|PostgreSQL|Power BI|PyCharm|PyTorch|Python|Regression|Requests|ResNet|SQL|Sci-py|SciPy|Scikit-learn|Scrapy|Seaborn|Selenium|Streamlit|TF-IDF|Tableau|TensorFlow|Time Series Analysis|Transformers|VGG|VSCode|Word Embedding|Word2Vec
Junior Software Engineer,Gin|Golang|JUnit|Jasmine|Java|JavaScript|Kubernetes|MongoDB|MySQL|Node JS|PostgreSQL|RabbitMQ|React|SQL|Sapui5|Swagger
Lead Engineer,.NET Core|.NET Framework|ASP.NET|AWS|Angular|Azure Cloud|Azure DevOps|Bogus|C#|Docker|Ember|Entity Framework|Git|GitHub|GraphQL|JMeter|JavaScript|Karate|MS Access|MS SQL|MSTest|MongoDB|Moq|NUnit|Node.js|OpenAPI|Oracle RDBMS|PostgreSQL|Postman|Razor Pages|Selenium|Testcontainers|TypeScript|VBA|WPF|xUnit
MAINFRAME DEVELOPER,Agile Development|C Language|CICS|COBOL|Change Management|Data structures|JCL|MASM|Mainframes|VSAM|Verilog
ML Executive,Amazon Web Services|Data Analysis|Data Science|Data Visualization|Excel|Flask|Gensim|Git|GitHub|Googletrans|Keras|Langdetect|Machine Learning|Matplotlib|NLTK|Numpy|OCR|OpenCV|Pandas|Pytesseract|Python|Regex|SQL|Sci-py|Scikit-learn|Seaborn|Statsmodels|TensorFlow|TextBlob|spaCy
"Management Trainee (Business operations , Marketing)",Administration|Business Operations|Communication|Customer Service|Data Analysis|Logical Ability|MS SharePoint|Marketing|Microsoft Excel|Microsoft Outlook|Microsoft PPT|Microsoft Word|Persuasion|Project Management|Reasoning|Sales|Team Management|Time Management
"Manager , Business Analyst , Cash Management Services",CRM Tools|Customer Relationship Management|Jira|MS Office|MS Visio|Requirement Gathering & Analysis|SQL
"Manager - Business Analyst ,Payment Services",CRM Tools|Customer Relationship Management|Jira|MS Office|MS Visio|Requirement Gathering & Analysis|SQL
"Manager, Biddable Media",Facebook Blueprint Certified|Microsoft Excel|Paid Social|Team Building
Marketing Analyst,API|AWS|CSS|Continuous Delivery|Continuous Integration|DevOps|Django|Docker|Elastic Search|Front End Developer|GCP Cloud|GIT|Golang|Google Cloud Platforms|HTML|Javascript|Kubernetes|Linux|MongoDB|MySQL|Node.Js|Python|Rust|Software Developer
Member of the SFS team,Gin|Golang|JUnit|Jasmine|Java|JavaScript|Kubernetes|MongoDB|MySQL|Node JS|PostgreSQL|RabbitMQ|React|SQL|Sapui5|Swagger
Network Administrator,Cisco Routing & Switching|Data Center Management|Palo Alto / F5|Project Management|RHEL/CentOS 6/7|Storage & Virtualization|Systems & Network Security|Windows Server Platforms
"Operation Associate (HL , LAP)",BAZ|CRM|Database Administration|Finnone|IC4|Ms-CIT|Salesforce|Sapphire|Typing
"Operation Executive , Cash Management",AIP|CIBIL Verification|Cash Salary Verification|Credit Management|KYC Verification|LIP|Loan Disbursement|Loan Management|Loan Origination|Portfolio Management|Risk Management|SFPC|Tele PD
"Operator , Manager",agile methodologies|angularjs|architecture|architectures|asp|bootstrap|business intelligence|c++|cloud computing|css|data center|data center architecture|databases|enterprise architecture|enterprise software|eslint|grunt|gulp|html|integration|it management|it service management|it strategy|itil|java|java enterprise edition|javascript|jquery|linux|management|microsoft sql server|mongodb|node|npm|objective-c|oracle|postgresql|program management|requirements analysis|sdlc|shell scripting|soa|software development|software engineering|software project management|solaris|solution architecture|spring|system architecture|uml|unix|virtualization|vuejs|web development|webpack|xml|xsl|xslt
Patient Satisfaction Analysis,AWS|BERT|Beautiful Soup|C/C++|CSS|Classification|Clustering|Django|Docker|Excel|Flask|Gensim|Git|GitHub|Google Colab|HTML|Hugging Face|Inception|Jupyter Notebook|Keras|Matplotlib|MongoDB|MySQL|NLTK|NumPy|OpenCV|Pandas|PostgreSQL|Power BI|PyCharm|PyTorch|Python|Regression|Requests|ResNet|SciPy|Scikit-learn|Scrapy|Seaborn|Selenium|Streamlit|Tableau|TensorFlow|Time Series Analysis|Transformers|VGG|VSCode|Word Embedding|Word2Vec
Product Researcher,AWS|Ansible|Azure|BERT|CI/CD|CockroachDB|Django|Docker|FastAPI|Firebase|Flask|GITHUB|GraphQL|Groq API|HTML/CSS|ImmuDB|JWT|JavaScript|Jenkins|Kubernetes|Laravel|MongoDB|MySQL|OAuth2|Ollama|OpenCV|PHP|Pinecone|PostgreSQL|Postman|Python|REST|React|Redis|SOAP|SQL|Swagger|TensorFlow|Terraform|Transformers|WebSockets|gRPC
Production Manager,.NET Core|.NET Framework|ASP.NET|AWS|Angular|Azure Cloud|Azure DevOps|Bogus|C#|Docker|Ember|Entity Framework|Git|GitHub|GraphQL|JMeter|JavaScript|Karate|MS Access|MS SQL|MSTest|MongoDB|Moq|NUnit|Node.js|OpenAPI|Oracle RDBMS|PostgreSQL|Postman|Razor Pages|Selenium|Testcontainers|TypeScript|VBA|WPF|xUnit
Project,MS Office|Tally
Project Engineer,C Programming|COBOL|Core Java|Google Cloud|JCL|MySQL|Python|SPUFI|SQL
Project Lead,CSS3|HTML5|Java|MongoDB|MySQL|React JS|Redis|Spring Boot
Python Developer,API|AWS|CSS|Continuous Delivery|Continuous Integration|DevOps|Django|Docker|Elastic Search|Front End Developer|GCP Cloud|GIT|Golang|Google Cloud Platforms|HTML|Javascript|Kubernetes|Linux|MongoDB|MySQL|Node.Js|Python|Rust|Software Developer
QA,Allen Bradley|Api integration|Bacnet|CRUD|Data Structure|Debezium|Django|Docker|FAST API|Flink|Git|Golang|HTML|JavaScript|KAFKA|Kubernetes|Microservices|Mitsubishi (MELSEC)|MongoDB|MySQL|OPC DA|ORM|PLCâ€™s protocols|Python|REST API|RabbitMQ|Redis|Siemens|Socket over TCP and UDP|Superset|UNS
Relationship Manager,Analytical skills|CNC Milling|CNC Programming|CNC Turning|Computer Hardware|Computer Operator|Effective communication|Home Loan|LAP Loan|Leadership|MS Office|MSCIT|Processing|Rational problem-solving|Sales|Sales planning|Self-motivation|TALLY ERP 9|Teamwork|Time management|Underwriting
Relationship Officer,CNC Milling|CNC Programming|CNC Turning|Computer Hardware|Computer Operator|Home Loan|LAP Loan|MS Office|Processing|Sales|Self-motivation|Teamwork|Underwriting
SALES MANAGER,Business Development|Microsoft Excel|Powerpoint|Strategic Planning|Team Support|Word
SAP ABAP Consultant,AMDP|Agile|BOPF framework|BTP|Business intelligent systems|CDS|Data Structures|Data lake|DevOps|Floor Plan Manager|Google Maps|Here Maps|IDOC|Java|Mobile apps|OOPs|Oracle|PI/PO|REST services|SAP ABAP|SAP FI|SAP HR|SAP MM|SAP SD|SAP TM|Sales force|Scrum|Tracking and sensing systems|WEBM
SAP Product Developer,AMDP|Agile|BOPF framework|BTP|Business intelligent systems|CDS|Data Structures|Data lake|DevOps|Floor Plan Manager|Google Maps|Here Maps|IDOC|Java|Mobile apps|OOPs|Oracle|PI/PO|REST services|SAP ABAP|SAP FI|SAP HR|SAP MM|SAP SD|SAP TM|Sales force|Scrum|Tracking and sensing systems|WEBM
SAP Senior Consultant,AMDP|Agile|BOPF framework|BTP|Business intelligent systems|CDS|Data Structures|Data lake|DevOps|Floor Plan Manager|Google Maps|Here Maps|IDOC|Java|Mobile apps|OOPs|Oracle|PI/PO|REST services|SAP ABAP|SAP FI|SAP HR|SAP MM|SAP SD|SAP TM|Sales force|Scrum|Tracking and sensing systems|WEBM
SAP TM Architect,AMDP|Agile|BOPF framework|BTP|Business intelligent systems|CDS|Data Structures|Data lake|DevOps|Floor Plan Manager|Google Maps|Here Maps|IDOC|Java|Mobile apps|OOPs|Oracle|PI/PO|REST services|SAP ABAP|SAP FI|SAP HR|SAP MM|SAP SD|SAP TM|Sales force|Scrum|Tracking and sensing systems|WEBM
